[133.078964,174.392960]
[244.319946,148.532120]
[271.697571,154.672684]
[135.094452,235.187195]
[153.774933,65.997841]
[200.626541,64.521622]
[194.698837,232.366028]
[178.009491,224.063446]
[96.456940,167.566940]
[242.955490,221.107132]
[190.452606,180.329071]
[190.123596,192.327499]
[188.455093,231.152832]
[133.604767,182.473648]
[130.270844,164.920639]
[241.736450,206.403732]
[186.776520,145.107269]
[161.604645,201.289276]
[224.459747,68.113289]
[205.612854,164.997665]
[193.411194,131.484467]
[161.938263,172.077972]
[119.830887,195.588089]
[251.368927,212.724533]
[221.347809,237.932907]
[91.117477,207.309967]
[246.435883,120.763382]
[153.778229,66.001053]
[186.464584,205.668457]
[221.248093,186.650391]
[255.928360,167.772858]
[201.773514,215.431274]
[123.305344,233.967102]
[210.220657,71.173615]
[256.054901,126.318062]
[125.933395,140.362488]
[259.684998,182.727905]
[201.781845,238.219971]
[145.046631,199.838425]
[161.389679,170.385971]
[245.248749,132.816711]
[190.254593,192.377060]
[251.901428,211.722183]
[151.105209,124.298012]
[160.074249,96.783180]
[249.688248,196.400040]
[274.785339,151.022919]
[145.960083,218.463028]
