[-1.000000,-1.000000]
[424.373077,349.786957]
[-1.000000,-1.000000]
[377.942474,282.193298]
[390.174561,155.434021]
[357.564575,411.377289]
[-1.000000,-1.000000]
[317.302429,315.535889]
[472.121857,225.962753]
[-1.000000,-1.000000]
[-1.000000,-1.000000]
[278.822327,292.579010]
[371.824921,245.610107]
[159.478424,16.750565]
[-1.000000,-1.000000]
[339.263245,220.325974]
[-1.000000,-1.000000]
[-1.000000,-1.000000]
[463.117126,255.069199]
[-1.000000,-1.000000]
[424.197540,321.029663]
[457.014679,271.953125]
[-1.000000,-1.000000]
[370.176605,227.964111]
[439.731964,237.310089]
[436.945679,355.095428]
[561.790100,422.403687]
[340.151154,133.005859]
[-1.000000,-1.000000]
[335.546021,158.691788]
[-1.000000,-1.000000]
[173.318665,325.764618]
[362.700806,399.679230]
[389.939178,274.829315]
[-1.000000,-1.000000]
[-1.000000,-1.000000]
[559.302673,190.615799]
[436.819916,273.090149]
[191.515472,151.360519]
[383.594452,285.105652]
[451.276794,359.443207]
[-1.000000,-1.000000]
[-1.000000,-1.000000]
[-1.000000,-1.000000]
[451.287567,359.433228]
[298.593323,309.542053]
[469.038300,204.590607]
[398.243713,218.891876]
[-1.000000,-1.000000]
[288.659760,320.552521]
[436.945801,355.095154]
[524.286682,270.430695]
[308.988190,320.274109]
[143.045258,349.460663]
[-1.000000,-1.000000]
[334.157227,171.539062]
[-1.000000,-1.000000]
[473.690186,209.140259]
[-1.000000,-1.000000]
[428.254089,178.736984]
[311.933075,316.841675]
[356.738403,359.257721]
[479.518860,53.380898]
[-1.000000,-1.000000]
[-1.000000,-1.000000]
[395.643860,235.048798]
[386.621887,284.477020]
[378.934875,233.558380]
[447.193848,378.889923]
[378.957642,233.544327]
[524.809021,269.798950]
[428.121246,338.460754]
[277.288177,270.239960]
[450.219482,288.412323]
[376.356567,441.481964]
[367.098541,231.524734]
[421.920502,185.178497]
[-1.000000,-1.000000]
[398.244232,218.903870]
[375.010010,170.766281]
[316.222351,166.916794]
[-1.000000,-1.000000]
[473.463898,63.548351]
[373.393524,144.770355]
[378.539429,117.338043]
[311.470398,309.957733]
[426.807831,230.455948]
[-1.000000,-1.000000]
[381.647095,416.589874]
[462.522461,280.495850]
[480.363678,351.638153]
[374.016388,130.021072]
[454.320587,398.805389]
[380.589600,278.914581]
[-1.000000,-1.000000]
[-1.000000,-1.000000]
[348.700500,156.259506]
[521.955017,272.007050]
[-1.000000,-1.000000]
[388.560883,268.081726]
[426.607483,287.321136]
[465.578674,208.616714]
[129.004318,348.051849]
[-1.000000,-1.000000]
[301.548645,309.128052]
[334.156128,171.540741]
[390.485016,184.743408]
[-1.000000,-1.000000]
[360.218842,229.176682]
[560.603088,187.434555]
[341.820160,127.068398]
[390.020264,274.082764]
[-1.000000,-1.000000]
[373.303802,245.450745]
[401.325836,313.699097]
[339.263489,220.318069]
[378.535858,117.337051]
[317.695709,320.510803]
[458.483459,214.175262]
[463.112091,255.087616]
[351.163361,137.850861]
[428.736450,277.061371]
[425.512177,330.454895]
[-1.000000,-1.000000]
[415.186310,177.104218]
[-1.000000,-1.000000]
[-1.000000,-1.000000]
[416.573578,340.465912]
[-1.000000,-1.000000]
[332.152100,204.197098]
[-1.000000,-1.000000]
[-1.000000,-1.000000]
[463.102417,254.868011]
[-1.000000,-1.000000]
[243.379959,438.942657]
[303.089142,315.174255]
[473.669556,209.194595]
[143.424927,349.168365]
[-1.000000,-1.000000]
[563.548706,197.821182]
[297.325562,268.485901]
[367.243744,267.448181]
[370.801636,395.324677]
[334.793854,337.063934]
[351.132538,253.760010]
[315.985168,282.624695]
[338.530426,255.176605]
[416.853027,207.152557]
[384.733978,283.202423]
[378.933472,233.564896]
[425.282593,345.040375]
[319.881683,174.803421]
[460.098541,198.236984]
[410.750336,166.044403]
[355.368652,196.330383]
[473.681854,209.155655]
[-1.000000,-1.000000]
[-1.000000,-1.000000]
[479.519440,53.382282]
[-1.000000,-1.000000]
[463.114105,254.875534]
[-1.000000,-1.000000]
[-1.000000,-1.000000]
[369.014496,439.575806]
[296.012299,313.433167]
[-1.000000,-1.000000]
[-1.000000,-1.000000]
[572.104065,185.083862]
[348.360718,238.906418]
[302.828613,308.711456]
[-1.000000,-1.000000]
[329.195312,177.377502]
[465.037445,202.529037]
[286.055786,284.658813]
[-1.000000,-1.000000]
[330.670044,288.533447]
[-1.000000,-1.000000]
[451.280304,359.434662]
[-1.000000,-1.000000]
[317.155243,315.318054]
[458.479034,214.183853]
[-1.000000,-1.000000]
[-1.000000,-1.000000]
[-1.000000,-1.000000]
[412.838196,338.464722]
[-1.000000,-1.000000]
[456.450378,257.509247]
[-1.000000,-1.000000]
[-1.000000,-1.000000]
[412.827698,362.028900]
[391.363586,233.514694]
[-1.000000,-1.000000]
[262.526947,303.924438]
[397.942596,291.559845]
[-1.000000,-1.000000]
[469.124298,56.910809]
[-1.000000,-1.000000]
[389.965179,274.828644]
[430.539917,136.711639]
[319.203766,172.842377]
[297.094421,318.100800]
[-1.000000,-1.000000]
[-1.000000,-1.000000]
[455.269073,292.458069]
[-1.000000,-1.000000]
[110.550377,435.453125]
[375.582336,273.967377]
[405.355835,310.859772]
[376.218201,272.421997]
[-1.000000,-1.000000]
[426.861603,231.120285]
[377.844788,280.797760]
[-1.000000,-1.000000]
[362.699585,399.679016]
[394.776550,133.650299]
[-1.000000,-1.000000]
[-1.000000,-1.000000]
[341.318970,183.679626]
[561.952026,422.178894]
[399.142944,177.823181]
[379.879089,443.091400]
[-1.000000,-1.000000]
[-1.000000,-1.000000]
[-1.000000,-1.000000]
[-1.000000,-1.000000]
[375.889893,180.278107]
[-1.000000,-1.000000]
[415.295013,366.284271]
[410.463867,364.541595]
[334.157410,171.529465]
[-1.000000,-1.000000]
[458.482666,214.172684]
[285.226959,315.616211]
[378.960388,233.540878]
[352.934509,155.829391]
[-1.000000,-1.000000]
[349.206665,161.294052]
[350.238556,144.971085]
[188.555740,366.622131]
[-1.000000,-1.000000]
[444.232025,163.304703]
[-1.000000,-1.000000]
[327.311523,331.437744]
[-1.000000,-1.000000]
[-1.000000,-1.000000]
[387.229584,266.733459]
[473.641846,209.282318]
[-1.000000,-1.000000]
[-1.000000,-1.000000]
[373.393005,144.746201]
[-1.000000,-1.000000]
[374.313568,271.951477]
[-1.000000,-1.000000]
[-1.000000,-1.000000]
[307.873444,311.272888]
[318.231995,353.440552]
[-1.000000,-1.000000]
[389.976013,274.826019]
[-1.000000,-1.000000]
[454.563324,413.462036]
[353.213959,360.992279]
[-1.000000,-1.000000]
[-1.000000,-1.000000]
[635.129456,377.317841]
[-1.000000,-1.000000]
[-1.000000,-1.000000]
[-1.000000,-1.000000]
[331.003998,267.524963]
[-1.000000,-1.000000]
[301.495575,301.449280]
[349.050354,291.733185]
[375.892975,180.281723]
[336.158783,305.949585]
[340.387115,133.039429]
[-1.000000,-1.000000]
[316.220215,166.956146]
[-1.000000,-1.000000]
[-1.000000,-1.000000]
[-1.000000,-1.000000]
[375.840210,185.698456]
[432.152405,329.191864]
[429.319946,150.133896]
[-1.000000,-1.000000]
