[386.000000,209.000000]
[130.483429,205.533127]
[88.042252,353.280060]
[131.254791,418.216187]
[282.375580,284.557922]
[339.000000,357.000000]
[610.000000,400.000000]
[176.831604,418.445007]
[189.000000,212.000000]
[203.448822,295.967041]
[333.813049,278.065796]
[432.266998,255.448135]
[346.963409,321.745087]
[346.970764,321.757904]
[178.000000,217.000000]
[334.000000,275.000000]
[186.000000,210.000000]
[488.537598,256.413879]
[439.000000,242.000000]
[611.796692,389.313416]
[112.340233,388.726227]
[534.327881,378.120972]
[13.000000,401.000000]
[309.964996,358.952393]
[309.000000,306.000000]
[444.864044,216.248291]
[140.561859,232.463959]
[348.000000,353.000000]
[308.579742,283.301270]
[52.897118,399.272675]
[55.000000,362.000000]
[210.836105,230.059601]
[490.000000,271.000000]
[115.000000,371.000000]
[82.016884,418.001160]
[279.192841,324.700409]
[296.000000,280.000000]
[217.000000,395.000000]
[210.071136,270.209015]
[312.032349,344.399506]
[389.999481,403.500641]
[52.892487,398.727905]
[116.000000,375.000000]
[176.711655,418.440521]
[130.566742,205.440964]
[269.478455,355.394653]
[598.000000,375.000000]
[445.194855,216.240601]
[310.668701,357.951813]
[90.654671,353.160828]
[505.408051,260.399109]
[485.622467,228.152603]
[17.132675,389.603149]
[460.793365,232.624954]
[587.951294,390.398895]
[94.861023,417.578522]
[130.558426,205.449127]
[162.000000,254.000000]
[272.775238,199.638123]
[379.493622,356.394806]
[214.000000,393.000000]
[189.730148,345.399048]
[145.000000,210.000000]
[367.000000,354.000000]
[156.000000,220.000000]
[29.937088,390.395691]
[372.000000,334.000000]
[312.301544,184.229691]
[286.119019,226.180801]
[488.000000,241.000000]
[202.229187,237.008575]
[59.136906,351.865234]
[94.853249,417.579559]
[53.577530,415.994537]
[226.114014,366.642426]
[217.631668,254.335724]
[268.816528,228.433029]
[534.329529,378.115875]
[391.803101,352.975983]
[113.758240,383.327545]
[202.190536,402.203796]
[532.589478,400.755402]
[130.574860,205.433151]
[137.679565,244.494156]
[62.000000,362.000000]
[123.746803,369.224548]
[351.000000,340.000000]
[605.000000,377.000000]
[415.364227,360.340363]
[460.805908,232.624191]
[282.373993,284.558716]
[83.905258,376.579407]
[558.753784,401.338715]
[460.801636,232.624481]
[141.000000,202.000000]
[231.000000,380.000000]
[373.579071,204.730957]
[297.109711,381.019440]
[205.293945,387.349426]
[518.165039,418.254425]
[305.119843,395.744690]
[455.482758,384.356110]
[484.976013,229.117767]
[254.072037,213.102142]
[364.000000,308.000000]
[86.000000,403.000000]
[327.000000,300.000000]
[125.526505,371.900818]
[210.071442,270.208557]
[42.000000,360.000000]
[217.630585,254.334457]
[230.764648,246.762512]
[18.753349,346.966980]
[137.676880,244.496536]
[445.198914,216.238525]
[17.129669,389.580322]
[338.432831,379.904419]
[445.192108,216.242111]
[88.000000,406.000000]
[316.623566,291.765533]
[380.000000,342.000000]
[310.690399,358.611267]
[359.000000,116.000000]
[86.132004,401.476227]
[147.683609,215.894775]
[159.000000,222.000000]
[171.449432,227.135864]
[203.000000,360.000000]
[59.362186,380.391418]
[344.000000,355.000000]
[269.685883,354.939178]
[150.678406,252.104187]
[72.000000,392.000000]
[505.000000,417.000000]
[279.193665,324.701263]
[493.000000,262.000000]
[225.000000,362.000000]
[346.964081,321.747803]
[508.000000,411.000000]
[45.000000,386.000000]
[611.790833,389.319031]
[254.073380,213.092163]
[290.000000,335.000000]
[198.000000,389.000000]
[205.280807,387.338043]
[717.501831,383.592529]
[479.000000,242.000000]
[301.000000,367.000000]
[478.000000,255.000000]
[377.940979,223.261093]
[106.000000,390.000000]
